date,pr,rmax,rmin,srad,tmin,tmax,tavg,gdd,cgdd,plant,year,location,
1/26/2023,0.6,100,68.3,72.1,-2.55,5.95,1.7,1.7,,Winter wheat,2023,Othello,
1/27/2023,0,100,50.3,68.2,0.95,12.45,6.7,6.7,,Winter wheat,2023,Othello,
1/28/2023,0,100,58.2,21.3,-7.25,4.65,-1.3,0,,Winter wheat,2023,Othello,
1/29/2023,0,66.1,29.9,84.5,-11.95,-0.65,-6.3,0,,Winter wheat,2023,Othello,
1/30/2023,0,52.7,22.3,81.4,-12.55,-0.75,-6.65,0,,Winter wheat,2023,Othello,
1/31/2023,0.6,62.7,49.5,49.8,-7.15,-2.65,-4.9,0,,Winter wheat,2023,Othello,
2/1/2023,0,97.1,55.9,85,-7.85,0.45,-3.7,0,,Winter wheat,2023,Othello,
2/2/2023,0,100,44.7,97.4,-8.05,4.75,-1.65,0,,Winter wheat,2023,Othello,
2/3/2023,0,100,58.9,72.9,-5.55,4.35,-0.6,0,,Winter wheat,2023,Othello,
2/4/2023,2.5,100,53.6,56.4,0.45,10.25,5.35,5.35,,Winter wheat,2023,Othello,
2/5/2023,3.6,100,96.2,43.4,-0.55,5.15,2.3,2.3,,Winter wheat,2023,Othello,
2/6/2023,0,100,60.5,54.7,0.55,9.25,4.9,4.9,,Winter wheat,2023,Othello,
2/7/2023,0,100,72.5,55.5,-0.85,7.95,3.55,3.55,,Winter wheat,2023,Othello,
2/8/2023,0,97.5,43.8,105.8,-2.75,9.15,3.2,3.2,,Winter wheat,2023,Othello,
2/9/2023,0,94,40.1,83.7,-3.35,9.15,2.9,2.9,,Winter wheat,2023,Othello,
2/10/2023,0,100,57.9,83.6,-3.95,6.85,1.45,1.45,,Winter wheat,2023,Othello,
2/11/2023,0,100,49.6,112.4,-4.85,8.75,1.95,1.95,,Winter wheat,2023,Othello,
2/12/2023,0,100,42.6,109.6,-3.65,9.85,3.1,3.1,,Winter wheat,2023,Othello,
2/13/2023,0,91,44.8,53.8,-1.35,9.35,4,4,,Winter wheat,2023,Othello,
2/14/2023,0,94.4,38.2,92.6,-4.75,8.35,1.8,1.8,,Winter wheat,2023,Othello,
2/15/2023,0,96.6,38.4,121.1,-6.25,6.95,0.35,0.35,,Winter wheat,2023,Othello,
2/16/2023,0,82.9,34.7,118.1,-4.95,7.45,1.25,1.25,,Winter wheat,2023,Othello,
2/17/2023,0,63.7,30.9,55.6,-0.25,10.15,4.95,4.95,,Winter wheat,2023,Othello,
2/18/2023,0,92.1,36.3,76.9,-1.45,12.25,5.4,5.4,,Winter wheat,2023,Othello,
2/19/2023,0,100,41.8,0,-1.05,12.25,5.6,5.6,,Winter wheat,2023,Othello,
2/20/2023,0,92.1,50.2,47.7,2.95,12.55,7.75,7.75,,Winter wheat,2023,Othello,
2/21/2023,0,100,47.2,49.2,-5.35,8.75,1.7,1.7,,Winter wheat,2023,Othello,
2/22/2023,0,100,79.4,29.2,-10.95,-4.05,-7.5,0,,Winter wheat,2023,Othello,
2/23/2023,0,52.7,29.7,112.2,-13.35,-5.95,-9.65,0,,Winter wheat,2023,Othello,
2/24/2023,0,18.9,7.1,127.6,2.85,11.75,7.3,7.3,,Winter wheat,2023,Othello,
2/25/2023,0,29.5,11.9,138.5,1.65,12.15,6.9,6.9,,Winter wheat,2023,Othello,
2/26/2023,0,72.7,30.3,107,-4.35,7.95,1.8,1.8,,Winter wheat,2023,Othello,
2/27/2023,0,89.4,43,109.2,-4.95,5.75,0.4,0.4,,Winter wheat,2023,Othello,
2/28/2023,0,47,28.1,138.4,4.55,11.85,8.2,8.2,,Winter wheat,2023,Othello,
3/1/2023,1.6,52.1,19.2,164.9,1.05,11.85,6.45,6.45,,Winter wheat,2023,Othello,
3/2/2023,0,84,29.1,87.4,-2.25,11.15,4.45,4.45,,Winter wheat,2023,Othello,
3/3/2023,0,85.2,32.5,150.7,-3.05,9.15,3.05,3.05,,Winter wheat,2023,Othello,
3/4/2023,0,79.3,30.3,101.3,-1.85,10.15,4.15,4.15,,Winter wheat,2023,Othello,
3/5/2023,1.5,79,32.5,177.9,-1.85,9.25,3.7,3.7,,Winter wheat,2023,Othello,
3/6/2023,0.3,90.8,45.5,126,-2.45,6.55,2.05,2.05,,Winter wheat,2023,Othello,
3/7/2023,0,87.9,30.6,173.6,-3.35,10.05,3.35,3.35,,Winter wheat,2023,Othello,
3/8/2023,0.4,84.7,29.6,121.9,-3.65,9.55,2.95,2.95,,Winter wheat,2023,Othello,
3/9/2023,4.5,97.4,36.2,158.9,-3.55,9.35,2.9,2.9,,Winter wheat,2023,Othello,
3/10/2023,1.9,100,57.6,53,-2.05,5.95,1.95,1.95,,Winter wheat,2023,Othello,
3/11/2023,0,100,37.3,148.2,-2.45,10.85,4.2,4.2,,Winter wheat,2023,Othello,
3/12/2023,1.2,100,44.5,100.7,-1.05,10.15,4.55,4.55,,Winter wheat,2023,Othello,
3/13/2023,2.7,100,42.8,103.6,-0.75,14.15,6.7,6.7,,Winter wheat,2023,Othello,
3/14/2023,0,85.3,36.1,197.3,-2.05,8.95,3.45,3.45,,Winter wheat,2023,Othello,
3/15/2023,0,85.8,27,200,-2.95,11.65,4.35,4.35,,Winter wheat,2023,Othello,
3/16/2023,0,82.2,23.8,200.8,-3.05,12.35,4.65,4.65,,Winter wheat,2023,Othello,
3/17/2023,0,77.9,23.2,214.8,-1.65,13.35,5.85,5.85,,Winter wheat,2023,Othello,
3/18/2023,0,78.5,22,214.6,-0.35,15.55,7.6,7.6,,Winter wheat,2023,Othello,
3/19/2023,0.7,74,22.5,205.4,0.95,15.75,8.35,8.35,,Winter wheat,2023,Othello,
3/20/2023,2,82,59,118,4.55,8.85,6.7,6.7,,Winter wheat,2023,Othello,
3/21/2023,0,100,39.2,201.8,1.35,14.35,7.85,7.85,,Winter wheat,2023,Othello,
3/22/2023,0,75.7,21.2,222.4,0.05,15.85,7.95,7.95,,Winter wheat,2023,Othello,
3/23/2023,0,79.8,26.4,188.9,-0.05,13.95,6.95,6.95,,Winter wheat,2023,Othello,
3/24/2023,0,84.9,30.4,131.7,-2.55,10.45,3.95,3.95,,Winter wheat,2023,Othello,
3/25/2023,0,86.6,31.9,117.5,-2.75,9.95,3.6,3.6,,Winter wheat,2023,Othello,
3/26/2023,0,82.6,28.5,202.2,-2.25,11.15,4.45,4.45,,Winter wheat,2023,Othello,
3/27/2023,0,72.9,26.2,234.9,-0.25,12.35,6.05,6.05,,Winter wheat,2023,Othello,
3/28/2023,0.4,61.5,28,167.3,3.05,12.25,7.65,7.65,,Winter wheat,2023,Othello,
3/29/2023,0,73,39,130,2.85,10.65,6.75,6.75,,Winter wheat,2023,Othello,
3/30/2023,0,97.5,30.2,196.9,-0.05,15.55,7.75,7.75,,Winter wheat,2023,Othello,
3/31/2023,1.3,87.1,37.5,152.7,0.25,11.25,5.75,5.75,,Winter wheat,2023,Othello,
4/1/2023,0,100,39.7,142.9,-2.05,11.15,4.55,4.55,,Winter wheat,2023,Othello,
4/2/2023,1.5,83.7,35.5,104.8,-1.25,9.85,4.3,4.3,,Winter wheat,2023,Othello,
4/3/2023,1.4,91.1,38.8,175.3,-2.45,8.75,3.15,3.15,,Winter wheat,2023,Othello,
4/4/2023,0,100,34.8,132.8,-3.75,10.85,3.55,3.55,,Winter wheat,2023,Othello,
4/5/2023,0,82.4,23.9,257.3,-3.35,12.25,4.45,4.45,,Winter wheat,2023,Othello,
4/6/2023,2,71,27.5,134.3,2.65,14.65,8.65,8.65,,Winter wheat,2023,Othello,
4/7/2023,1.5,100,48,149.4,2.65,14.45,8.55,8.55,,Winter wheat,2023,Othello,
4/8/2023,0,91.9,36.8,191.7,1.95,14.35,8.15,8.15,,Winter wheat,2023,Othello,
4/9/2023,2.3,77.6,36.1,99,7.15,17.35,12.25,12.25,,Winter wheat,2023,Othello,
4/10/2023,10.5,100,79.3,81.5,6.15,12.65,9.4,9.4,,Winter wheat,2023,Othello,
4/11/2023,0,100,49.9,212,-1.95,12.25,5.15,5.15,,Winter wheat,2023,Othello,
4/12/2023,0,78.5,27.3,206.9,-1.95,11.35,4.7,4.7,,Winter wheat,2023,Othello,
4/13/2023,0,78.7,27.6,249.3,-0.95,12.35,5.7,5.7,,Winter wheat,2023,Othello,
4/14/2023,0,76.6,24.7,286.2,-0.45,13.85,6.7,6.7,,Winter wheat,2023,Othello,
4/15/2023,0,80.2,25.6,237.4,1.25,16.05,8.65,8.65,,Winter wheat,2023,Othello,
4/16/2023,0,99.8,34.4,174.1,0.45,14.95,7.7,7.7,,Winter wheat,2023,Othello,
4/17/2023,0.7,86.6,33.2,200.9,0.15,12.75,6.45,6.45,,Winter wheat,2023,Othello,
4/18/2023,0,85.5,32,261.8,-0.85,11.95,5.55,5.55,,Winter wheat,2023,Othello,
4/19/2023,0.4,80.6,25.8,153,-1.65,12.85,5.6,5.6,,Winter wheat,2023,Othello,
4/20/2023,3.8,93.4,36.6,267.2,-1.85,10.55,4.35,4.35,,Winter wheat,2023,Othello,
4/21/2023,0,96.5,40.7,228.6,1.55,13.35,7.45,7.45,,Winter wheat,2023,Othello,
4/22/2023,0,92,33.2,192,3.05,16.95,10,10,,Winter wheat,2023,Othello,
4/23/2023,1.2,88.3,38,145.3,7.05,18.75,12.9,12.9,,Winter wheat,2023,Othello,
4/24/2023,0,99.7,34.1,167.8,2.55,17.35,9.95,9.95,,Winter wheat,2023,Othello,
4/25/2023,0,91.1,26.4,302.8,2.35,19.05,10.7,10.7,,Winter wheat,2023,Othello,
4/26/2023,0,82.2,20.9,280.1,5.35,23.65,14.5,14.5,,Winter wheat,2023,Othello,
4/27/2023,0,77.5,21.2,306.6,6.25,23.45,14.85,14.85,,Winter wheat,2023,Othello,
4/28/2023,0,72.5,14,311.5,5.55,26.65,16.1,16.1,,Winter wheat,2023,Othello,
4/29/2023,0,72.5,15.3,307.3,8.55,29.05,18.8,18.8,,Winter wheat,2023,Othello,
4/30/2023,0,80.5,20.1,309.7,8.55,27.45,18,18,,Winter wheat,2023,Othello,
5/1/2023,0.6,82.7,31.7,310.6,8.35,22.15,15.25,15.25,,Winter wheat,2023,Othello,
5/2/2023,0,100,38.7,305.9,7.85,23.25,15.55,15.55,,Winter wheat,2023,Othello,
5/3/2023,0,91.8,23,332.1,10.55,31.05,20.8,20.8,,Winter wheat,2023,Othello,
5/4/2023,0.5,84.5,29.7,314.5,10.45,25.75,18.1,18.1,,Winter wheat,2023,Othello,
5/5/2023,0.3,96,63.1,110.9,9.15,15.65,12.4,12.4,,Winter wheat,2023,Othello,
5/6/2023,0,97.6,39.2,180.9,5.95,19.35,12.65,12.65,,Winter wheat,2023,Othello,
5/7/2023,0,89.2,32.4,248.2,5.65,20.15,12.9,12.9,,Winter wheat,2023,Othello,
5/8/2023,1.4,83.3,28.8,305.4,5.85,20.85,13.35,13.35,,Winter wheat,2023,Othello,
5/9/2023,0,89.2,32,272.8,5.65,20.35,13,13,,Winter wheat,2023,Othello,
5/10/2023,0.3,84.2,25.8,337.1,6.75,23.55,15.15,15.15,,Winter wheat,2023,Othello,
5/11/2023,0,77.2,20.7,344.1,7.35,25.75,16.55,16.55,,Winter wheat,2023,Othello,
5/12/2023,0,67.9,16.4,348.5,9.35,28.85,19.1,19.1,,Winter wheat,2023,Othello,
5/13/2023,0,60.9,16.9,350,13.35,30.95,22.15,22.15,,Winter wheat,2023,Othello,
5/14/2023,0,56.3,18.5,348,16.45,31.65,24.05,24.05,,Winter wheat,2023,Othello,
5/15/2023,0.3,60.1,21.1,344.7,16.45,31.05,23.75,23.75,,Winter wheat,2023,Othello,
5/16/2023,1.2,86.1,40.1,257.6,12.65,24.15,18.4,18.4,,Winter wheat,2023,Othello,
5/17/2023,0,90.8,32.4,343.9,12.95,28.55,20.75,20.75,,Winter wheat,2023,Othello,
5/18/2023,0,79.7,24.2,348.9,14.65,32.35,23.5,23.5,,Winter wheat,2023,Othello,
5/19/2023,0,75.8,21,346.8,15.35,34.25,24.8,24.8,,Winter wheat,2023,Othello,
5/20/2023,0,66.9,20.2,350.1,17.55,34.95,26.25,26.25,,Winter wheat,2023,Othello,
5/21/2023,0,100,28.6,333,8.95,28.85,18.9,18.9,,Winter wheat,2023,Othello,
5/22/2023,0,80.7,26.1,356.9,6.55,22.45,14.5,14.5,,Winter wheat,2023,Othello,
5/23/2023,0,77.8,24.2,364.4,6.65,22.95,14.8,14.8,,Winter wheat,2023,Othello,
5/24/2023,0,76.6,21.2,355.8,7.15,25.05,16.1,16.1,,Winter wheat,2023,Othello,
5/25/2023,0,66.2,20.8,337.6,9.45,25.25,17.35,17.35,,Winter wheat,2023,Othello,
5/26/2023,0,71.2,21.5,317.2,10.35,27.15,18.75,18.75,,Winter wheat,2023,Othello,
5/27/2023,1.2,74.1,22.8,285.5,11.45,28.25,19.85,19.85,,Winter wheat,2023,Othello,
5/28/2023,0,78.1,25.1,361.6,11.95,28.45,20.2,20.2,,Winter wheat,2023,Othello,
5/29/2023,0,67.9,18,370.6,10.65,29.05,19.85,19.85,,Winter wheat,2023,Othello,
5/30/2023,0,72.4,17.1,371.6,8.05,27.95,18,18,,Winter wheat,2023,Othello,
5/31/2023,0,71.5,19.2,372,6.15,24.05,15.1,15.1,,Winter wheat,2023,Othello,
6/1/2023,0,82.8,22.6,371.6,5.45,23.55,14.5,14.5,,Winter wheat,2023,Othello,
6/2/2023,0,71.7,18.2,366.6,7.65,26.45,17.05,17.05,,Winter wheat,2023,Othello,
6/3/2023,0,63.2,13.8,371.2,8.85,29.05,18.95,18.95,,Winter wheat,2023,Othello,
6/4/2023,0,57.4,12.8,369.2,10.75,30.45,20.6,20.6,,Winter wheat,2023,Othello,
6/5/2023,0,53.1,11.6,372.3,11.45,30.95,21.2,21.2,,Winter wheat,2023,Othello,
6/6/2023,0,49.2,9.9,374.3,12.25,32.25,22.25,22.25,,Winter wheat,2023,Othello,
6/7/2023,0,50.8,9.6,349.6,13.05,34.15,23.6,23.6,,Winter wheat,2023,Othello,
6/8/2023,0,66.2,26.1,256.7,14.95,28.15,21.55,21.55,,Winter wheat,2023,Othello,
6/9/2023,0,100,55.5,183.1,12.45,23.05,17.75,17.75,,Winter wheat,2023,Othello,
6/10/2023,0,100,51.4,132.5,11.45,23.35,17.4,17.4,,Winter wheat,2023,Othello,
6/11/2023,0,93,28.6,317.5,11.75,29.45,20.6,20.6,,Winter wheat,2023,Othello,
6/12/2023,0,76.2,23.7,346.3,15.85,33.15,24.5,24.5,,Winter wheat,2023,Othello,
6/13/2023,0,98.4,21.7,361,9.65,32.05,20.85,20.85,,Winter wheat,2023,Othello,
6/14/2023,0,64.5,20.6,376,9.15,24.55,16.85,16.85,,Winter wheat,2023,Othello,
6/15/2023,0,67.6,22,369.2,9.55,24.95,17.25,17.25,,Winter wheat,2023,Othello,
6/16/2023,0,68.2,19.7,297,10.85,28.05,19.45,19.45,,Winter wheat,2023,Othello,
6/17/2023,0,85.2,25.6,353.1,8.45,25.75,17.1,17.1,,Winter wheat,2023,Othello,
6/18/2023,0,73.7,22.6,311.6,4.55,20.55,12.55,12.55,,Winter wheat,2023,Othello,
6/19/2023,0,76.1,24.3,245.6,4.65,20.25,12.45,12.45,,Winter wheat,2023,Othello,
6/20/2023,0,74.3,31.3,244.5,6.85,18.85,12.85,12.85,,Winter wheat,2023,Othello,
6/21/2023,0,72,22.9,363.2,7.55,23.35,15.45,15.45,,Winter wheat,2023,Othello,
6/22/2023,0,58.2,16.4,373,10.55,27.25,18.9,18.9,,Winter wheat,2023,Othello,
6/23/2023,0,57.8,13.2,373.8,10.15,29.45,19.8,19.8,,Winter wheat,2023,Othello,
6/24/2023,0,58.3,14.8,372.8,11.45,29.65,20.55,20.55,,Winter wheat,2023,Othello,
6/25/2023,0,52.2,12.8,372.7,12.95,31.05,22,22,,Winter wheat,2023,Othello,
6/26/2023,0,54.8,15.6,359.8,14.55,31.25,22.9,22.9,,Winter wheat,2023,Othello,
6/27/2023,0,57.8,21.8,318.5,16.85,30.25,23.55,23.55,,Winter wheat,2023,Othello,
6/28/2023,0,67.5,23.8,336.5,16.35,31.35,23.85,23.85,,Winter wheat,2023,Othello,
6/29/2023,0,64.7,18.2,362.8,15.65,33.55,24.6,24.6,,Winter wheat,2023,Othello,
6/30/2023,0,54,13.2,366.4,14.95,33.65,24.3,24.3,,Winter wheat,2023,Othello,
7/1/2023,0,51,13.2,350.2,13.55,32.85,23.2,23.2,,Winter wheat,2023,Othello,
7/2/2023,0,50.6,14.7,347.1,12.55,30.05,21.3,21.3,,Winter wheat,2023,Othello,
7/3/2023,0,35.1,8.8,353.5,13.75,31.25,22.5,22.5,,Winter wheat,2023,Othello,
7/4/2023,0,38.7,10.1,350.2,14.15,31.85,23,23,,Winter wheat,2023,Othello,
7/5/2023,0,40,10.3,344.2,15.55,33.85,24.7,24.7,,Winter wheat,2023,Othello,
7/6/2023,0,39.1,9.7,344.4,16.45,35.25,25.85,25.85,,Winter wheat,2023,Othello,
7/7/2023,0,40.3,10.2,338.4,17.85,36.65,27.25,27.25,,Winter wheat,2023,Othello,
7/8/2023,0,45.5,12,340,17.35,36.25,26.8,26.8,,Winter wheat,2023,Othello,
7/9/2023,0,47.4,13.1,337.9,17.95,36.55,27.25,27.25,,Winter wheat,2023,Othello,
7/10/2023,2,87.3,29.7,300.3,12.15,29.15,20.65,20.65,,Winter wheat,2023,Othello,
7/11/2023,0,77.5,25.3,340.2,12.15,29.45,20.8,20.8,,Winter wheat,2023,Othello,
7/12/2023,0,60.9,19.6,281.8,14.35,31.35,22.85,22.85,,Winter wheat,2023,Othello,
7/13/2023,0,67.3,22.6,335.5,14.55,31.25,22.9,22.9,,Winter wheat,2023,Othello,
7/14/2023,0,66.3,20,333.3,15.25,33.65,24.45,24.45,,Winter wheat,2023,Othello,
7/15/2023,0,50,13,325.7,16.55,36.05,26.3,26.3,,Winter wheat,2023,Othello,
7/16/2023,0,44.6,10.7,311.5,16.75,36.85,26.8,26.8,,Winter wheat,2023,Othello,
7/17/2023,0,70,24.1,330,12.15,28.35,20.25,20.25,,Winter wheat,2023,Othello,
7/18/2023,0,63.1,19.6,336.9,12.25,29.65,20.95,20.95,,Winter wheat,2023,Othello,
7/19/2023,0,48.8,11.4,334,14.75,35.45,25.1,25.1,,Winter wheat,2023,Othello,
7/20/2023,0,40,9,334.1,17.55,37.85,27.7,27.7,,Winter wheat,2023,Othello,
7/21/2023,0,49.9,12.8,332.2,15.45,35.05,25.25,25.25,,Winter wheat,2023,Othello,
7/22/2023,0,53,14.3,329.1,14.85,33.95,24.4,24.4,,Winter wheat,2023,Othello,
7/23/2023,0,56.1,15.2,320.3,15.95,35.35,25.65,25.65,,Winter wheat,2023,Othello,
7/24/2023,0,60.7,20.3,325.8,15.15,31.65,23.4,23.4,,Winter wheat,2023,Othello,
7/25/2023,0,76.6,25.7,299.9,11.65,28.45,20.05,20.05,,Winter wheat,2023,Othello,
7/26/2023,0,60.1,18.5,328.8,11.25,28.45,19.85,19.85,,Winter wheat,2023,Othello,
7/27/2023,0,48.2,12.8,327.1,12.45,30.95,21.7,21.7,,Winter wheat,2023,Othello,
7/28/2023,0,58.2,16.1,310.8,13.35,32.25,22.8,22.8,,Winter wheat,2023,Othello,
7/29/2023,0,55.4,15.2,321,14.05,32.95,23.5,23.5,,Winter wheat,2023,Othello,
7/30/2023,0,60.3,16.7,320.5,12.25,31.15,21.7,21.7,,Winter wheat,2023,Othello,
7/31/2023,0,61,15.8,323.1,11.15,30.95,21.05,21.05,,Winter wheat,2023,Othello,
8/1/2023,0,57.3,12.3,318.8,11.35,32.55,21.95,21.95,,Winter wheat,2023,Othello,
8/2/2023,0,40.8,8.3,318.8,13.85,33.95,23.9,23.9,,Winter wheat,2023,Othello,
8/3/2023,0,42.4,9,309.9,14.15,34.05,24.1,24.1,,Winter wheat,2023,Othello,
8/4/2023,0,53.1,19.8,268.6,15.65,29.55,22.6,22.6,,Winter wheat,2023,Othello,
8/5/2023,1.1,69.8,46.9,228,18.45,24.65,21.55,21.55,,Winter wheat,2023,Othello,
8/6/2023,0.8,79.2,39.4,248.8,18.05,29.15,23.6,23.6,,Winter wheat,2023,Othello,
8/7/2023,10.4,99,57.9,187.3,15.15,24.05,19.6,19.6,,Winter wheat,2023,Othello,
8/8/2023,0,89.2,35,277.7,14.75,29.55,22.15,22.15,,Winter wheat,2023,Othello,
8/9/2023,0,83.2,27.1,264.6,13.05,30.25,21.65,21.65,,Winter wheat,2023,Othello,
8/10/2023,0,85.2,29.7,296.4,12.35,28.55,20.45,20.45,,Winter wheat,2023,Othello,
8/11/2023,0,79.3,23.8,297.7,12.05,30.15,21.1,21.1,,Winter wheat,2023,Othello,
8/12/2023,0,70.8,19.6,291.4,13.55,32.65,23.1,23.1,,Winter wheat,2023,Othello,
8/13/2023,0,61,18.5,285.9,17.85,35.55,26.7,26.7,,Winter wheat,2023,Othello,
8/14/2023,0,61.2,15.2,288,18.15,38.75,28.45,28.45,,Winter wheat,2023,Othello,
8/15/2023,0,57.3,13.5,286.6,18.85,39.95,29.4,29.4,,Winter wheat,2023,Othello,
8/16/2023,0,57.1,14.9,286.6,18.65,38.25,28.45,28.45,,Winter wheat,2023,Othello,
8/17/2023,0,53.3,15.9,228.9,19.05,36.45,27.75,27.75,,Winter wheat,2023,Othello,
8/18/2023,0,65.6,15.5,288.6,12.15,32.95,22.55,22.55,,Winter wheat,2023,Othello,
8/19/2023,0,41.3,9.8,283.1,11.35,29.35,20.35,20.35,,Winter wheat,2023,Othello,
8/20/2023,0,47.7,13.2,278.1,12.15,29.15,20.65,20.65,,Winter wheat,2023,Othello,
8/21/2023,0.9,61.2,28.3,246.7,15.75,27.05,21.4,21.4,,Winter wheat,2023,Othello,
8/22/2023,0,100,57,188.5,9.45,21.55,15.5,15.5,,Winter wheat,2023,Othello,
8/23/2023,0,97.7,33.9,277.8,8.85,25.05,16.95,16.95,,Winter wheat,2023,Othello,
8/24/2023,0,79.9,20.9,276.8,9.35,29.15,19.25,19.25,,Winter wheat,2023,Othello,
8/25/2023,0.3,65.3,26.5,236,15.15,28.55,21.85,21.85,,Winter wheat,2023,Othello,
8/26/2023,0,74.8,21.2,268.4,14.55,33.65,24.1,24.1,,Winter wheat,2023,Othello,
8/27/2023,0,64.7,16,263.9,16.65,37.35,27,27,,Winter wheat,2023,Othello,
8/28/2023,0.5,62.3,15,265.9,16.95,37.95,27.45,27.45,,Winter wheat,2023,Othello,
8/29/2023,1,79.1,38,209.3,13.25,24.55,18.9,18.9,,Winter wheat,2023,Othello,
8/30/2023,0,82.5,31.8,225.4,12.45,27.05,19.75,19.75,,Winter wheat,2023,Othello,
8/31/2023,1.1,93.5,59.5,91.6,12.75,20.15,16.45,16.45,,Winter wheat,2023,Othello,
9/1/2023,0,94.6,37.4,177.2,12.95,27.25,20.1,20.1,,Winter wheat,2023,Othello,
9/2/2023,0,87.9,26.5,237.5,12.75,30.85,21.8,21.8,,Winter wheat,2023,Othello,
9/3/2023,0,75.6,28.7,223,14.75,29.15,21.95,21.95,,Winter wheat,2023,Othello,
9/4/2023,0,94.8,35.3,177.6,9.85,24.75,17.3,17.3,,Winter wheat,2023,Othello,
9/5/2023,0,88.5,31.7,239.2,9.15,24.35,16.75,16.75,,Winter wheat,2023,Othello,
9/6/2023,0,74.3,22.2,223.3,8.95,26.05,17.5,17.5,,Winter wheat,2023,Othello,
9/7/2023,0,91.4,29.2,221.4,8.95,25.85,17.4,17.4,,Winter wheat,2023,Othello,
9/8/2023,0,89.3,29.7,234.5,10.15,26.55,18.35,18.35,,Winter wheat,2023,Othello,
9/9/2023,0,77.1,19.2,232,11.05,31.15,21.1,21.1,,Winter wheat,2023,Othello,
9/10/2023,0,56.7,13.4,231.1,13.65,33.15,23.4,23.4,,Winter wheat,2023,Othello,
9/11/2023,0,67.4,21.4,200.7,12.65,28.95,20.8,20.8,,Winter wheat,2023,Othello,
9/12/2023,0,80.8,27.9,212.7,11.55,27.25,19.4,19.4,,Winter wheat,2023,Othello,
9/13/2023,0,86.5,28.5,223.6,9.95,26.35,18.15,18.15,,Winter wheat,2023,Othello,
9/14/2023,0,75.4,20.3,221.7,9.65,28.35,19,19,,Winter wheat,2023,Othello,
9/15/2023,0,67.5,14.8,222.5,9.75,30.65,20.2,20.2,,Winter wheat,2023,Othello,
9/16/2023,0,63.2,12.7,218.9,9.85,31.55,20.7,20.7,,Winter wheat,2023,Othello,
9/17/2023,0,43.9,13.5,206,12.95,27.45,20.2,20.2,,Winter wheat,2023,Othello,
9/18/2023,0,75.9,19.1,205,5.85,24.95,15.4,15.4,,Winter wheat,2023,Othello,
9/19/2023,0,72.2,23,137.8,6.15,21.95,14.05,14.05,,Winter wheat,2023,Othello,
9/20/2023,1.6,86.4,48.8,78.9,7.65,16.15,11.9,11.9,,Winter wheat,2023,Othello,
9/21/2023,0.5,89.6,43.2,134.9,8.55,19.45,14,14,,Winter wheat,2023,Othello,
9/22/2023,0,94.1,42.2,188.2,8.05,20.05,14.05,14.05,,Winter wheat,2023,Othello,
